venueId,fullName,shortName,capacity,city,country
5,Philips Stadion,none,0,Eindhoven,Netherlands
6,Stadio Mario Rigamonti,Stadio Mario Rigamonti,0,Brescia,Italy
8,Stadio Olimpico,Stadio Olimpico,0,Roma,Italy
11,Weserstadion,Weserstadion,0,Bremen,Germany
15,Anoeta Stadium,none,0,Anoeta Stadium,Spain
18,Fortuna Sittard Stadion,Fortuna Sittard Stadion,0,Sittard,Netherlands
23,Koning Willem II Stadion,Koning Willem II Stadion,0,Tilburg,Netherlands
25,Stadio Ettore Giardiniero - Via del Mare,Stadio Ettore Giardiniero - Via ,0,Lecce,Italy
26,San Siro,none,0,Milano,Italy
42,Stadium de Toulouse,Stadium de Toulouse,0,Toulouse,France
43,Parkstad Limburg Stadion,none,0,Kerkrade,Netherlands
47,Mandemakers Stadion,none,0,Waalwijk,Netherlands
48,Goffertstadion,Goffertstadion,0,Nijmegen,Netherlands
50,Johan Cruijff Arena,Johan Cruijff Arena,0,Amsterdam,Netherlands
55,Estadio De La Cerámica,Estadio De La Cerámica,0,Villarreal,Spain
112,BayArena,none,0,Leverkusen,Germany
128,Priestfield Stadium,Priestfield Stadium,0,Gillingham,England
129,Blundell Park,none,0,Grimsby,England
131,The City Ground,The City Ground,0,Nottingham,England
133,Edgeley Park,none,0,Stockport,England
134,Pallet-Track Bescot Stadium,Pallet-Track Bescot Stadium,0,Walsall,England
135,Selhurst Park,Selhurst Park,0,London,England
136,Molineux Stadium,none,0,Wolverhampton,England
138,Cledara Abbey Stadium,Cledara Abbey Stadium,0,Cambridge,England
142,Sixfields Stadium,Sixfields Stadium,0,Northampton,England
143,Vale Park,none,0,Stoke-on-Trent,England
145,Meadow Lane,none,0,Nottingham,England
146,Prenton Park,none,0,Birkenhead,England
148,STōK Cae Ras,STōK Cae Ras,0,Wrexham,Wales
150,Brunton Park,none,0,Carlisle,England
152,St. James' Park,St. James' Park,0,Newcastle-upon-Tyne,England
154,Aggborough Stadium,none,0,Kidderminster,England
155,LNER Stadium,LNER Stadium,0,Lincoln,England
156,The Leasing.com Stadium,The Leasing.com Stadium,0,Macclesfield,England
157,The Kassam Stadium,none,0,Oxford,England
158,Home Park,none,0,Plymouth,England
161,Celtic Park,none,0,Glasgow,Scotland
162,Dens Park,Dens Park,0,Dundee,Scotland
163,Easter Road,Easter Road,0,Edinburgh,Scotland
166,Somerset Park,none,0,Ayr,Scotland
167,Caledonian Stadium,none,0,Inverness,Scotland
168,Stark's Park,none,0,Fife,Scotland
171,Central Park,none,0,Cowdenbeath,Scotland
172,Palmerston Park,none,0,Dumfries,Scotland
173,Ochilview Park,none,0,Stenhousemuir,Scotland
174,The Reigart Stadium,The Reigart Stadium,0,Coatbridge,Scotland
175,The Carnegie Fuels Stadium at Glebe Park,The Carnegie Fuels Stadium at Gl,0,Brechin,Scotland
177,Balmoor Stadium,none,0,Peterhead,Scotland
178,Hampden Park,none,0,Glasgow,Scotland
179,KDM Group East End Park,KDM Group East End Park,0,Dunfermline,Scotland
183,Hillsborough,none,0,Sheffield,England
186,Eco Gen Stadium at Stair Park,Eco Gen Stadium at Stair Park,0,Stranraer,Scotland
188,The Valley,none,0,London,England
190,Elland Road,none,0,Leeds,England
192,Anfield,none,0,Liverpool,England
194,Stadium of Light,none,0,Sunderland,England
196,Oakwell,Oakwell,0,Barnsley,England
197,Turf Moor,none,0,Burnley,England
199,Carrow Road,none,0,Norwich,England
200,Fratton Park,none,0,Portsmouth,England
201,Deepdale,none,0,Preston,England
203,Vicarage Road,Vicarage Road,0,Watford,England
204,The Hawthorns,none,0,West Bromwich,England
208,Ashton Gate,Ashton Gate,0,Bristol,England
211,Boundary Park,none,0,Oldham,England
213,Select Car Leasing Stadium,Select Car Leasing Stadium,0,Reading,England
214,bet365 Stadium,bet365 Stadium,0,Stoke-on-Trent,England
215,Adams Park,none,0,Wycombe,England
217,The Shay Stadium,The Shay Stadium,0,Halifax,England
221,One Call Stadium,One Call Stadium,0,Mansfield,England
222,Crown Oil Arena,Crown Oil Arena,0,Rochdale,England
223,Attis Arena,Attis Arena,0,Scunthorpe,England
226,Plainmoor,Plainmoor,0,Torquay,England
233,Huish Park,none,0,Yeovil,England
234,Pittodrie Stadium,none,0,Aberdeen,Scotland
235,CalForth Construction Arena at Tannadice Park,CalForth Construction Arena at T,0,Dundee,Scotland
236,Tynecastle Park,Tynecastle Park,0,Edinburgh,Scotland
239,Wyre Stadium at Firhill,Wyre Stadium at Firhill,0,Glasgow,Scotland
240,Shielfield Park,none,0,Berwick,England
241,Alpha Projects Stadium @ Station Park,Alpha Projects Stadium @ Station,0,Forfar,Scotland
242,Cappielow Park,none,0,Greenock,Scotland
244,Borough Briggs,none,0,Elgin,Scotland
245,Links Park,Links Park,0,Montrose,Scotland
246,Forthbank Stadium,none,0,Stirling,Scotland
247,Ibrox Stadium,none,0,Glasgow,Scotland
249,Stamford Bridge,none,0,London,England
250,Old Trafford,none,0,Manchester,England
253,Goodison Park,none,0,Liverpool,England
